9.086256;1.147968,0.9451897,1.975871;0.2069257,-0.44483950.3561588;2.69,0.3919154,4.63;0,-3,0;0
9.102712;1.154665,0.9373088,1.987398;0.4079145,-0.480040.7020985;2.69,0.3919154,4.63;0,-3,0;0
9.119486;1.161447,0.9293378,1.999071;0.4086271,-0.48024640.703325;2.69,0.2405071,4.63;0,-3,0;0
9.136366;1.169445,0.9208668,2.012837;0.4699728,-0.49777870.8089126;2.69,0.2405071,4.63;0,-3,0;0
9.152318;1.178848,0.9123408,2.029022;0.584623,-0.53008691.006247;2.69,0.2405071,4.63;0,-3,0;0
9.169374;1.191479,0.9026147,2.050763;0.7470633,-0.5752421.285838;2.69,0.2405071,4.63;0,-3,0;0
9.185524;1.206738,0.8924217,2.077026;0.9404428,-0.62820991.61868;2.69,0.2405071,4.63;0,-3,0;0
9.202439;1.226052,0.8809278,2.110268;1.15115,-0.68508491.981346;2.69,0.2405071,4.63;0,-3,0;0
9.219352;1.249227,0.8683204,2.150157;1.362641,-0.74128072.345362;2.69,0.2405071,4.63;0,-3,0;0
9.23524;1.274165,0.8556412,2.193079;1.558759,-0.79253012.68292;2.69,0.2405071,4.63;0,-3,0;0
9.251855;1.299861,0.8425761,2.237307;1.558931,-0.79264122.683215;2.69,0.07999992,4.63;0,0,0;0
9.268447;1.326047,0.829213,2.282379;1.57969,-0.80612112.718946;2.69,0.07999992,4.63;0,0,0;0
9.285369;1.353517,0.8150981,2.32966;1.620038,-0.83242922.788391;2.69,0.07999992,4.63;0,0,0;0
9.301591;1.379711,0.8016382,2.374745;1.620206,-0.83253952.788681;2.69,0.07999992,4.63;0,0,0;0
9.31808;1.406861,0.7876431,2.421475;1.638796,-0.84476752.820678;2.69,0.07999992,4.63;0,0,0;0
9.334579;1.434603,0.7732567,2.469223;1.674574,-0.86841082.882258;2.69,0.07999992,4.63;0,0,0;0
9.3517;1.463997,0.7578877,2.519817;1.725213,-0.90203672.969419;2.69,0.07999992,4.63;0,0,0;0
9.368333;1.493844,0.7421357,2.571189;1.785813,-0.94248453.073722;2.69,0.07999992,4.63;0,0,0;0
9.384841;1.523172,0.726657,2.621668;1.785932,-0.94256433.073927;2.69,0.07999992,4.63;0,0,0;0
9.401383;1.552978,0.7108943,2.672971;1.799016,-0.95139123.096447;2.69,0.07999992,4.63;0,0,0;0
9.418005;1.583199,0.6948499,2.724986;1.824242,-0.96850813.139865;2.69,0.07999992,4.63;0,0,0;0
9.434642;1.613423,0.6788032,2.777008;1.82436,-0.9685893.140069;2.69,0.07999992,4.63;0,0,0;0
9.451228;1.643842,0.6626229,2.829364;1.836186,-0.97671313.160424;2.69,0.07999992,4.63;0,0,0;0
9.46769;1.674262,0.6464412,2.881723;1.836277,-0.9767763.160581;2.69,0.07999992,4.63;0,0,0;0
9.484275;1.704873,0.6301271,2.934411;1.847663,-0.98470513.180177;2.69,0.07999992,4.63;0,0,0;0
9.50142;1.736977,0.6129528,2.989668;1.86994,-1.0003353.218521;2.69,0.07999992,4.63;0,0,0;0
9.517434;1.767457,0.5965629,3.04213;1.900507,-1.0219553.271132;2.69,0.07999992,4.63;0,0,0;0
9.533971;1.798804,0.5797068,3.096083;1.900585,-1.0220113.271266;2.69,0.07999992,4.63;0,0,0;0
9.550433;1.830441,0.5626668,3.150537;1.909729,-1.0285883.287006;2.69,0.07999992,4.63;0,0,0;0
9.567416;1.863089,0.5450258,3.20673;1.927596,-1.0415623.317758;2.69,0.07999992,4.63;0,0,0;0
